"","p","s","d","v","el","vp","klast"
"1",0.55,24,46,0,46,0.901807519,0
"2",0.55,26,46,1,46,1.060724674,0
"3",0.55,27,46,0,46,0.765213376,0
"4",0.55,23,46,0,46,0.935854715,0
"5",0.55,26,46,0,46,0.865241244,0
"6",0.55,26,46,0,46,0.941611798,0
"7",0.55,22,46,0,46,0.863938432,0
"8",0.55,20,46,1,46,1.030094483,0
"9",0.55,22,46,1,46,1.162572275,0
"10",0.55,20,46,1,46,1.031721594,0
"11",0.55,26,51,0,46,0.886730459,0
"12",0.55,27,51,1,46,1.168340002,0
"13",0.55,30,51,0,46,0.79370507,0
"14",0.55,27,51,0,46,0.886832339,0
"15",0.55,31,51,1,46,1.06169775,0
"16",0.55,23,51,0,46,0.936956514,0
"17",0.55,19,51,0,46,0.995710128,0
"18",0.55,15,51,0,46,0.991478503,0
"19",0.55,25,51,1,46,1.20059499,0
"20",0.55,23,51,1,46,1.095806224,0
"21",0.55,31,56,0,46,0.975169,0
"22",0.55,31,56,0,46,0.976000096,0
"23",0.55,33,56,0,46,0.82814092,0
"24",0.55,34,56,0,46,0.739336944,0
"25",0.55,32,56,1,46,1.007593639,0
"26",0.55,32,56,1,46,1.150707921,0
"27",0.55,29,56,0,46,0.910204729,0
"28",0.55,27,56,1,46,1.081157265,0
"29",0.55,30,56,0,46,0.210200815,0
"30",0.55,24,56,1,46,1.197468582,0
"31",0.55,32,61,0,46,0.97614061,0
"32",0.55,31,61,1,46,1.012453372,0
"33",0.55,31,61,0,46,0.836543458,0
"34",0.55,28,61,0,46,0.875793787,0
"35",0.55,28,61,0,46,0.887288442,0
"36",0.55,28,61,0,46,0.882142037,0
"37",0.55,29,61,0,46,0.89776833,0
"38",0.55,14,61,1,46,1.058405254,0
"39",0.55,25,61,1,46,1.062737733,0
"40",0.55,26,61,1,46,1.152365742,0
"41",0.55,31,66,1,46,1.094558649,0
"42",0.55,32,66,0,46,0.811221415,0
"43",0.55,32,66,0,46,0.928494857,0
"44",0.55,29,66,0,46,0.860239111,0
"45",0.55,33,66,0,46,0.823168518,0
"46",0.55,32,66,0,46,0.839811764,0
"47",0.55,29,66,0,46,0.850656645,0
"48",0.55,29,66,0,46,0.992080961,0
"49",0.55,29,66,1,46,1.013255904,0
"50",0.55,27,66,1,46,1.210328779,0
"51",0.55,30,71,0,46,0.98906031,0
"52",0.55,27,71,0,46,0.80179195,0
"53",0.55,27,71,1,46,1.014489916,0
"54",0.55,31,71,1,46,1.023700916,0
"55",0.55,31,71,1,46,1.006773779,0
"56",0.55,28,71,0,46,0.914160096,0
"57",0.55,26,71,0,46,0.900934794,0
"58",0.55,25,71,0,46,0.770774254,0
"59",0.55,26,71,1,46,1.216518862,0
"60",0.55,30,71,1,46,1.038745173,0
"61",0.55,29,76,1,46,1.070651278,0
"62",0.55,30,76,0,46,0.956756902,0
"63",0.55,29,76,0,46,0.829255797,0
"64",0.55,29,76,0,46,0.808257416,0
"65",0.55,29,76,1,46,1.141452331,0
"66",0.55,26,76,0,46,0.946765902,0
"67",0.55,25,76,0,46,0.872646807,0
"68",0.55,30,76,0,46,0.973051273,0
"69",0.55,27,76,1,46,1.456164765,0
"70",0.55,30,76,0,46,0.891964865,0
"71",0.55,29,81,1,46,1.017799322,0
"72",0.55,30,81,0,46,0.954424164,0
"73",0.55,28,81,0,46,0.876313886,0
"74",0.55,28,81,0,46,0.93004273,0
"75",0.55,29,81,1,46,1.120505402,0
"76",0.55,29,81,0,46,0.876805416,0
"77",0.55,28,81,0,46,0.979548844,0
"78",0.55,28,81,1,46,1.067995722,0
"79",0.55,26,81,1,46,1.207367949,0
"80",0.55,28,81,1,46,1.232394021,0
"81",0.55,27,86,0,46,0.905363174,0
"82",0.55,27,86,1,46,1.029595551,0
"83",0.55,28,86,0,46,1.000021004,0
"84",0.55,26,86,0,46,0.988400318,0
"85",0.55,26,86,1,46,1.016176661,0
"86",0.55,26,86,1,46,1.032803901,0
"87",0.55,23,86,1,46,1.128258718,0
"88",0.55,24,86,0,46,0.986435658,0
"89",0.55,26,86,1,46,1.421229326,0
"90",0.55,25,86,1,46,1.278755652,0
"91",0.55,28,91,0,46,0.98053614,0
"92",0.55,26,91,1,46,1.085506114,0
"93",0.55,27,91,0,46,0.84297484,0
"94",0.55,26,91,0,46,0.989824062,0
"95",0.55,26,91,1,46,1.044731616,0
"96",0.55,25,91,0,46,0.998826396,0
"97",0.55,23,91,1,46,1.080892779,0
"98",0.55,24,91,1,46,1.116759357,0
"99",0.55,22,91,1,46,1.103247518,0
"100",0.55,24,91,0,46,0.972122814,0
"101",0.55,26,96,1,46,1.059499842,0
"102",0.55,25,96,1,46,1.112240347,0
"103",0.55,26,96,0,46,0.998634031,0
"104",0.55,26,96,1,46,1.010020356,0
"105",0.55,25,96,0,46,0.999537868,0
"106",0.55,25,96,1,46,1.026935545,0
"107",0.55,24,96,1,46,1.032034199,0
"108",0.55,24,96,1,46,1.062177229,0
"109",0.55,24,96,1,46,1.181849336,0
"110",0.55,24,96,0,46,0.933751713,0
"111",0.55,24,101,1,46,1.075268729,0
"112",0.55,26,101,1,46,1.007293704,0
"113",0.55,27,101,0,46,0.95404939,0
"114",0.55,27,101,1,46,1.010583617,0
"115",0.55,24,101,1,46,1.031395672,0
"116",0.55,24,101,0,46,0.995208507,0
"117",0.55,24,101,1,46,1.038761489,0
"118",0.55,24,101,1,46,1.132866284,0
"119",0.55,24,101,1,46,1.133541508,0
"120",0.55,24,101,0,46,0.943349064,0
"121",0.55,25,106,1,46,1.027447107,0
"122",0.55,25,106,0,46,0.977031106,0
"123",0.55,26,106,1,46,1.03158922,0
"124",0.55,24,106,1,46,1.015967345,0
"125",0.55,23,106,1,46,1.062770599,0
"126",0.55,22,106,0,46,0.972269063,0
"127",0.55,23,106,1,46,1.022459426,0
"128",0.55,22,106,1,46,1.05941113,0
"129",0.55,23,106,1,46,1.134283799,0
"130",0.55,23,106,0,46,0.858410576,0
"131",0.55,22,111,0,46,0.974365013,0
"132",0.55,25,111,0,46,0.95365675,0
"133",0.55,23,111,1,46,1.013805577,0
"134",0.55,22,111,1,46,1.03505684,0
"135",0.55,24,111,1,46,1.041665944,0
"136",0.55,23,111,1,46,1.064235272,0
"137",0.55,22,111,0,46,1.001621735,0
"138",0.55,22,111,1,46,1.071336451,0
"139",0.55,22,111,1,46,1.141604679,0
"140",0.55,22,111,0,46,0.987034046,0
"141",0.55,24,116,0,46,0.979208412,0
"142",0.55,20,116,0,46,0.978163911,0
"143",0.55,19,116,1,46,1.019675547,0
"144",0.55,18,116,0,46,0.974835276,0
"145",0.55,21,116,1,46,1.124091589,0
"146",0.55,22,116,1,46,1.026708495,0
"147",0.55,21,116,1,46,1.065599678,0
"148",0.55,21,116,1,46,1.086872604,0
"149",0.55,22,116,1,46,1.127000803,0
"150",0.55,20,116,0,46,0.956482685,0
"151",0.55,20,121,0,46,0.975498725,0
"152",0.55,19,121,0,46,0.987803158,0
"153",0.55,20,121,0,46,0.959781242,0
"154",0.55,19,121,0,46,1.003940722,0
"155",0.55,21,121,1,46,1.07913049,0
"156",0.55,20,121,1,46,1.135756192,0
"157",0.55,19,121,1,46,1.028623917,0
"158",0.55,20,121,1,46,1.043787397,0
"159",0.55,21,121,1,46,1.059289601,0
"160",0.55,20,121,0,46,0.960779297,0
"161",0.55,17,126,1,46,1.038893704,0
"162",0.55,19,126,0,46,1.002212781,0
"163",0.55,17,126,0,46,0.990227857,0
"164",0.55,19,126,1,46,1.009885312,0
"165",0.55,20,126,0,46,0.98274649,0
"166",0.55,20,126,1,46,1.147744688,0
"167",0.55,20,126,1,46,1.00572077,0
"168",0.55,20,126,1,46,1.039782881,0
"169",0.55,20,126,0,46,0.99788421,0
"170",0.55,21,126,0,46,0.984346952,0
"171",0.55,14,131,1,46,1.02624916,0
"172",0.55,18,131,0,46,0.995387437,0
"173",0.55,19,131,0,46,0.968468448,0
"174",0.55,21,131,0,46,1.003615359,0
"175",0.55,23,131,0,46,0.964006462,0
"176",0.55,19,131,1,46,1.134997792,0
"177",0.55,21,131,0,46,0.998594105,0
"178",0.55,19,131,1,46,1.042499822,0
"179",0.55,21,131,0,46,1.001408395,0
"180",0.55,19,131,1,46,1.06408478,0
"181",0.55,17,136,1,46,1.032448761,0
"182",0.55,18,136,1,46,1.015780861,0
"183",0.55,20,136,0,46,0.934164559,0
"184",0.55,20,136,0,46,0.997084965,0
"185",0.55,19,136,1,46,1.014717578,0
"186",0.55,19,136,1,46,1.071501754,0
"187",0.55,20,136,1,46,1.034684441,0
"188",0.55,20,136,1,46,1.026424092,0
"189",0.55,20,136,0,46,0.986146751,0
"190",0.55,18,136,1,46,1.006667766,0
"191",0.55,22,141,1,46,1.031722846,0
"192",0.55,21,141,0,46,0.983905377,0
"193",0.55,21,141,0,46,0.954719505,0
"194",0.55,20,141,1,46,1.01406638,0
"195",0.55,19,141,1,46,1.019975996,0
"196",0.55,19,141,1,46,1.090842268,0
"197",0.55,20,141,1,46,1.053121133,0
"198",0.55,20,141,0,46,0.987080266,0
"199",0.55,20,141,1,46,1.010412688,0
"200",0.55,19,141,0,46,0.995363331,0
"201",0.55,17,146,0,46,0.954480544,0
"202",0.55,13,146,1,46,1.061290012,0
"203",0.55,19,146,0,46,0.991753211,0
"204",0.55,17,146,1,46,1.043133828,0
"205",0.55,17,146,1,46,1.075147721,0
"206",0.55,16,146,1,46,1.014591791,0
"207",0.55,17,146,1,46,1.007932863,0
"208",0.55,17,146,0,46,0.994024892,0
"209",0.55,17,146,1,46,1.026460231,0
"210",0.55,17,146,0,46,0.979103412,0
"211",0.55,15,151,1,46,1.008865499,0
"212",0.55,17,151,1,46,1.055966555,0
"213",0.55,19,151,0,46,0.954442053,0
"214",0.55,16,151,1,46,1.076850618,0
"215",0.55,14,151,1,46,1.018452376,0
"216",0.55,16,151,1,46,1.010766836,0
"217",0.55,17,151,1,46,1.009007501,0
"218",0.55,17,151,1,46,1.012204515,0
"219",0.55,16,151,1,46,1.041249324,0
"220",0.55,15,151,0,46,0.980505014,0
"221",0.55,11,156,1,46,1.022392531,0
"222",0.55,10,156,1,46,1.06846427,0
"223",0.55,16,156,0,46,0.986043381,0
"224",0.55,13,156,1,46,1.027893781,0
"225",0.55,10,156,0,46,0.964963002,0
"226",0.55,14,156,0,46,0.990983509,0
"227",0.55,15,156,0,46,0.999499748,0
"228",0.55,16,156,1,46,1.025719752,0
"229",0.55,16,156,0,46,0.998445679,0
"230",0.55,16,156,1,46,1.016669814,0
"231",0.55,16,161,1,46,1.013414291,0
"232",0.55,16,161,1,46,1.073588448,0
"233",0.55,14,161,1,46,1.008832367,0
"234",0.55,16,161,1,46,1.022491628,0
"235",0.55,15,161,1,46,1.0063844,0
"236",0.55,15,161,1,46,1.045417929,0
"237",0.55,15,161,0,46,0.996788752,0
"238",0.55,16,161,1,46,1.03250817,0
"239",0.55,16,161,0,46,0.991165733,0
"240",0.55,16,161,1,46,1.056901679,0
"241",0.55,17,166,1,46,1.063180958,0
"242",0.55,16,166,0,46,0.999175089,0
"243",0.55,15,166,1,46,1.008986391,0
"244",0.55,15,166,1,46,1.016927446,0
"245",0.55,16,166,1,46,1.008215,0
"246",0.55,16,166,1,46,1.028004966,0
"247",0.55,16,166,0,46,0.990424151,0
"248",0.55,15,166,1,46,1.041000683,0
"249",0.55,16,166,1,46,1.019035759,0
"250",0.55,16,166,1,46,1.058641074,0
"251",0.55,17,171,1,46,1.008316172,0
"252",0.55,15,171,0,46,0.985799531,0
"253",0.55,15,171,0,46,0.998719936,0
"254",0.55,15,171,0,46,0.996434392,0
"255",0.55,15,171,1,46,1.021956765,0
"256",0.55,16,171,1,46,1.022815178,0
"257",0.55,16,171,0,46,0.989267712,0
"258",0.55,16,171,0,46,1.000452636,0
"259",0.55,16,171,0,46,0.996043448,0
"260",0.55,16,171,1,46,1.054020876,0
"261",0.55,16,176,1,46,1.031595728,0
"262",0.55,16,176,0,46,0.982146013,0
"263",0.55,15,176,0,46,0.999099325,0
"264",0.55,15,176,1,46,1.013201009,0
"265",0.55,15,176,0,46,1.003801945,0
"266",0.55,15,176,1,46,1.017009707,0
"267",0.55,15,176,0,46,0.988021823,0
"268",0.55,16,176,0,46,1.003141582,0
"269",0.55,16,176,0,46,0.999870901,0
"270",0.55,16,176,1,46,1.037583551,0
"271",0.55,15,181,1,46,1.025845276,0
"272",0.55,15,181,0,46,0.997300453,0
"273",0.55,16,181,0,46,0.98758599,0
"274",0.55,15,181,1,46,1.013594623,0
"275",0.55,15,181,0,46,1.004880889,0
"276",0.55,15,181,1,46,1.014018843,0
"277",0.55,16,181,0,46,0.979156336,0
"278",0.55,15,181,1,46,1.007327772,0
"279",0.55,16,181,1,46,1.02344642,0
"280",0.55,16,181,1,46,1.034315625,0
"281",0.55,15,186,0,46,0.993067258,0
"282",0.55,14,186,1,46,1.026032266,0
"283",0.55,15,186,0,46,0.984578988,0
"284",0.55,15,186,1,46,1.01354906,0
"285",0.55,16,186,0,46,1.001099075,0
"286",0.55,14,186,1,46,1.029155159,0
"287",0.55,15,186,0,46,0.976072096,0
"288",0.55,15,186,1,46,1.00832972,0
"289",0.55,15,186,1,46,1.021604651,0
"290",0.55,16,186,1,46,1.033227487,0
"291",0.55,15,191,0,46,0.997698491,0
"292",0.55,15,191,1,46,1.026715817,0
"293",0.55,13,191,0,46,0.98585439,0
"294",0.55,15,191,1,46,1.022214367,0
"295",0.55,15,191,1,46,1.007781357,0
"296",0.55,14,191,1,46,1.025998285,0
"297",0.55,14,191,0,46,0.992832815,0
"298",0.55,14,191,0,46,0.985349413,0
"299",0.55,14,191,1,46,1.022071295,0
"300",0.55,15,191,1,46,1.011175618,0
"301",0.55,15,196,0,46,0.993144299,0
"302",0.55,15,196,0,46,0.991946997,0
"303",0.55,13,196,0,46,0.985990603,0
"304",0.55,14,196,0,46,0.996143094,0
"305",0.55,15,196,1,46,1.010505819,0
"306",0.55,14,196,1,46,1.024087438,0
"307",0.55,14,196,0,46,0.993471717,0
"308",0.55,15,196,0,46,0.988047978,0
"309",0.55,15,196,1,46,1.03824069,0
"310",0.55,14,196,1,46,1.012921721,0
"311",0.55,15,201,0,46,1.002165659,0
"312",0.55,15,201,0,46,0.999223491,0
"313",0.55,15,201,0,46,0.994266086,0
"314",0.55,15,201,0,46,0.977626868,0
"315",0.55,15,201,1,46,1.010038713,0
"316",0.55,14,201,1,46,1.022828644,0
"317",0.55,14,201,0,46,0.994065774,0
"318",0.55,15,201,0,46,0.987973355,0
"319",0.55,14,201,1,46,1.015167496,0
"320",0.55,15,201,1,46,1.009773969,0
"321",0.55,15,206,0,46,0.993510098,0
"322",0.55,15,206,0,46,0.999952823,0
"323",0.55,15,206,0,46,0.98310581,0
"324",0.55,15,206,0,46,0.959560233,0
"325",0.55,13,206,1,46,1.013227949,0
"326",0.55,14,206,1,46,1.018090964,0
"327",0.55,14,206,0,46,0.995607965,0
"328",0.55,14,206,0,46,0.99451141,0
"329",0.55,14,206,1,46,1.01558569,0
"330",0.55,14,206,1,46,1.011043836,0
"331",0.55,14,211,0,46,0.983549028,0
"332",0.55,14,211,0,46,0.994492578,0
"333",0.55,13,211,0,46,0.982353419,0
"334",0.55,13,211,0,46,0.994882359,0
"335",0.55,14,211,0,46,1.000486274,0
"336",0.55,13,211,1,46,1.011578848,0
"337",0.55,14,211,0,46,0.99619976,0
"338",0.55,14,211,0,46,0.995080773,0
"339",0.55,13,211,0,46,1.002873134,0
"340",0.55,14,211,1,46,1.014201979,0
"341",0.55,14,216,0,46,0.984867919,0
"342",0.55,14,216,0,46,0.993021531,0
"343",0.55,14,216,0,46,0.974089097,0
"344",0.55,12,216,0,46,0.99433284,0
"345",0.55,14,216,0,46,1.001228495,0
"346",0.55,13,216,1,46,1.00994658,0
"347",0.55,14,216,0,46,0.993109566,0
"348",0.55,14,216,0,46,1.001887724,0
"349",0.55,14,216,0,46,0.995024532,0
"350",0.55,13,216,0,46,0.999207901,0
"351",0.55,13,221,0,46,0.988849397,0
"352",0.55,12,221,1,46,1.031234998,0
"353",0.55,12,221,0,46,0.977968755,0
"354",0.55,13,221,0,46,0.998737759,0
"355",0.55,12,221,0,46,1.001617351,0
"356",0.55,12,221,1,46,1.019964326,0
"357",0.55,14,221,0,46,0.993441014,0
"358",0.55,14,221,0,46,1.0017132,0
"359",0.55,13,221,0,46,0.972249624,0
"360",0.55,13,221,0,46,0.995699189,0
"361",0.55,13,226,0,46,0.988396199,0
"362",0.55,12,226,1,46,1.029292553,0
"363",0.55,12,226,0,46,0.957342462,0
"364",0.55,12,226,0,46,0.993320871,0
"365",0.55,12,226,0,46,1.002392043,0
"366",0.55,12,226,0,46,0.998249159,0
"367",0.55,14,226,1,46,1.015813333,0
"368",0.55,13,226,0,46,0.978301748,0
"369",0.55,13,226,0,46,0.976621139,0
"370",0.55,13,226,1,46,1.006924737,0
"371",0.55,13,231,0,46,0.988077113,0
"372",0.55,13,231,1,46,1.0375681,0
"373",0.55,13,231,0,46,0.972852547,0
"374",0.55,13,231,0,46,0.99149643,0
"375",0.55,13,231,0,46,1.003111895,0
"376",0.55,12,231,0,46,0.986387203,0
"377",0.55,13,231,0,46,1.000891831,0
"378",0.55,13,231,0,46,0.981031787,0
"379",0.55,13,231,0,46,0.977339126,0
"380",0.55,13,231,0,46,1.001246406,0
"381",0.55,14,236,0,46,0.985332889,0
"382",0.55,14,236,1,46,1.015720062,0
"383",0.55,14,236,0,46,0.972762814,0
"384",0.55,13,236,0,46,0.990668635,0
"385",0.55,13,236,0,46,0.992184484,0
"386",0.55,13,236,0,46,0.990579498,0
"387",0.55,13,236,0,46,1.001049607,0
"388",0.55,13,236,1,46,1.01820787,0
"389",0.55,13,236,0,46,0.971939832,0
"390",0.55,13,236,0,46,1.001300372,0
"391",0.55,14,241,0,46,0.982046192,0
"392",0.55,14,241,1,46,1.01582112,0
"393",0.55,14,241,0,46,0.972073148,0
"394",0.55,12,241,0,46,0.998306978,0
"395",0.55,13,241,0,46,0.992908818,0
"396",0.55,14,241,0,46,0.991174346,0
"397",0.55,13,241,0,46,1.001167776,0
"398",0.55,12,241,1,46,1.01773498,0
"399",0.55,13,241,0,46,0.970376555,0
"400",0.55,11,241,1,46,1.010689913,0
"401",0.55,14,246,0,46,0.982755691,0
"402",0.55,13,246,0,46,0.994037067,0
"403",0.55,14,246,0,46,0.968944794,0
"404",0.55,13,246,0,46,0.994470837,0
"405",0.55,14,246,0,46,1.003493474,0
"406",0.55,14,246,0,46,0.99277855,0
"407",0.55,13,246,0,46,1.000799928,0
"408",0.55,13,246,1,46,1.017591172,0
"409",0.55,13,246,0,46,0.969781034,0
"410",0.55,11,246,1,46,1.010333429,0
"411",0.55,14,251,0,46,0.988131078,0
"412",0.55,14,251,0,46,0.979228403,0
"413",0.55,14,251,0,46,0.992057637,0
"414",0.55,13,251,0,46,0.994815276,0
"415",0.55,12,251,0,46,0.996455638,0
"416",0.55,13,251,0,46,0.999174962,0
"417",0.55,13,251,0,46,1.003749585,0
"418",0.55,13,251,0,46,0.999877264,0
"419",0.55,13,251,1,46,1.005264938,0
"420",0.55,13,251,1,46,1.018161567,0
"421",0.55,14,256,0,46,0.988552291,0
"422",0.55,12,256,1,46,1.007207675,0
"423",0.55,12,256,0,46,0.979101515,0
"424",0.55,11,256,0,46,1.000975705,0
"425",0.55,11,256,0,46,1.004759533,0
"426",0.55,11,256,0,46,1.002526847,0
"427",0.55,11,256,0,46,1.00206285,0
"428",0.55,10,256,0,46,0.995249911,0
"429",0.55,11,256,0,46,0.99883004,0
"430",0.55,13,256,1,46,1.01205997,0
"431",0.55,14,261,0,46,0.988225912,0
"432",0.55,12,261,1,46,1.006805446,0
"433",0.55,12,261,0,46,0.978709419,0
"434",0.55,10,261,0,46,1.002645577,0
"435",0.55,9,261,1,46,1.014302805,0
"436",0.55,10,261,1,46,1.007715235,0
"437",0.55,11,261,0,46,1.00320147,0
"438",0.55,10,261,0,46,0.995183195,0
"439",0.55,11,261,0,46,0.997737889,0
"440",0.55,11,261,1,46,1.014567161,0
"441",0.55,13,266,1,46,1.011290819,0
"442",0.55,12,266,1,46,1.013592604,0
"443",0.55,12,266,0,46,0.997311739,0
"444",0.55,10,266,0,46,1.002810526,0
"445",0.55,9,266,1,46,1.014603202,0
"446",0.55,10,266,1,46,1.007659074,0
"447",0.55,11,266,0,46,1.003319441,0
"448",0.55,11,266,0,46,0.996596391,0
"449",0.55,11,266,0,46,0.986048351,0
"450",0.55,11,266,1,46,1.027378373,0
"451",0.55,13,271,1,46,1.011493407,0
"452",0.55,12,271,0,46,0.993946038,0
"453",0.55,13,271,0,46,0.978308041,0
"454",0.55,10,271,0,46,0.992353738,0
"455",0.55,9,271,1,46,1.014862331,0
"456",0.55,10,271,1,46,1.010497632,0
"457",0.55,11,271,0,46,1.003430642,0
"458",0.55,10,271,0,46,0.982523639,0
"459",0.55,13,271,0,46,0.992756245,0
"460",0.55,12,271,1,46,1.030665197,0
"461",0.55,12,276,1,46,1.015513525,0
"462",0.55,10,276,0,46,0.998980685,0
"463",0.55,13,276,0,46,0.978093677,0
"464",0.55,10,276,0,46,0.985526761,0
"465",0.55,9,276,1,46,1.015073449,0
"466",0.55,10,276,1,46,1.010218503,0
"467",0.55,10,276,0,46,0.975582536,0
"468",0.55,11,276,0,46,0.981843993,0
"469",0.55,12,276,0,46,0.968644465,0
"470",0.55,12,276,1,46,1.029331307,0
"471",0.55,10,281,1,46,1.008973714,0
"472",0.55,12,281,0,46,0.988833225,0
"473",0.55,13,281,0,46,0.977674628,0
"474",0.55,10,281,0,46,0.985401484,0
"475",0.55,9,281,1,46,1.015037315,0
"476",0.55,10,281,1,46,1.009888207,0
"477",0.55,10,281,0,46,0.975275532,0
"478",0.55,12,281,0,46,0.981248007,0
"479",0.55,12,281,0,46,0.967879582,0
"480",0.55,12,281,1,46,1.028659792,0
"481",0.55,11,286,1,46,1.007391279,0
"482",0.55,10,286,0,46,0.999236434,0
"483",0.55,13,286,0,46,0.977378925,0
"484",0.55,12,286,0,46,0.98382851,0
"485",0.55,11,286,1,46,1.012946374,0
"486",0.55,11,286,1,46,1.008077703,0
"487",0.55,12,286,0,46,0.984006581,0
"488",0.55,9,286,0,46,0.996225886,0
"489",0.55,10,286,0,46,0.96153564,0
"490",0.55,12,286,1,46,1.026238585,0
"491",0.55,11,291,1,46,1.01897625,0
"492",0.55,6,291,0,46,0.998154247,0
"493",0.55,13,291,0,46,0.977047243,0
"494",0.55,12,291,0,46,0.983942067,0
"495",0.55,11,291,1,46,1.008707825,0
"496",0.55,11,291,1,46,1.00508932,0
"497",0.55,12,291,0,46,0.984146641,0
"498",0.55,9,291,0,46,0.996540621,0
"499",0.55,11,291,0,46,0.962806195,0
"500",0.55,12,291,1,46,1.025220327,0
"501",0.55,10,296,1,46,1.018908078,0
"502",0.55,6,296,0,46,1.001051002,0
"503",0.55,12,296,0,46,0.970874855,0
"504",0.55,11,296,0,46,0.985967698,0
"505",0.55,11,296,1,46,1.00911381,0
"506",0.55,11,296,1,46,1.005440237,0
"507",0.55,11,296,0,46,0.985482213,0
"508",0.55,9,296,0,46,0.996879447,0
"509",0.55,10,296,0,46,0.96325956,0
"510",0.55,12,296,1,46,1.024234618,0
"511",0.55,11,301,1,46,1.014851975,0
"512",0.55,8,301,0,46,0.990153855,0
"513",0.55,12,301,0,46,0.993665394,0
"514",0.55,11,301,0,46,0.986542798,0
"515",0.55,11,301,1,46,1.00916467,0
"516",0.55,10,301,1,46,1.007822316,0
"517",0.55,11,301,0,46,0.985559,0
"518",0.55,9,301,0,46,0.996922321,0
"519",0.55,11,301,0,46,0.963185544,0
"520",0.55,11,301,1,46,1.005159334,0
"521",0.55,11,306,1,46,1.014828776,0
"522",0.55,6,306,0,46,1.000981955,0
"523",0.55,12,306,0,46,0.993296704,0
"524",0.55,11,306,0,46,0.984771346,0
"525",0.55,11,306,1,46,1.009465634,0
"526",0.55,10,306,1,46,1.007545952,0
"527",0.55,11,306,0,46,0.985756597,0
"528",0.55,9,306,0,46,0.996371383,0
"529",0.55,11,306,0,46,0.950011409,0
"530",0.55,11,306,1,46,1.010156367,0
"531",0.55,11,311,1,46,1.016998304,0
"532",0.55,11,311,0,46,1.002284316,0
"533",0.55,12,311,0,46,0.992923374,0
"534",0.55,11,311,0,46,0.990632422,0
"535",0.55,11,311,1,46,1.009704665,0
"536",0.55,11,311,0,46,0.998214896,0
"537",0.55,11,311,0,46,0.982748044,0
"538",0.55,12,311,0,46,0.99137985,0
"539",0.55,11,311,0,46,0.955048726,0
"540",0.55,10,311,0,46,1.003000883,0
"541",0.55,12,316,1,46,1.016860784,0
"542",0.55,10,316,0,46,1.00349063,0
"543",0.55,11,316,0,46,0.998003231,0
"544",0.55,11,316,0,46,0.990101462,0
"545",0.55,12,316,0,46,0.980519363,0
"546",0.55,11,316,0,46,0.998801786,0
"547",0.55,11,316,0,46,0.982915139,0
"548",0.55,12,316,0,46,0.992163424,0
"549",0.55,12,316,0,46,0.953543865,0
"550",0.55,12,316,0,46,0.988140724,0
"551",0.55,12,321,1,46,1.016891016,0
"552",0.55,10,321,0,46,1.003154516,0
"553",0.55,10,321,0,46,0.991932539,0
"554",0.55,11,321,0,46,0.989334847,0
"555",0.55,11,321,0,46,0.992087665,0
"556",0.55,11,321,0,46,0.998964268,0
"557",0.55,11,321,0,46,0.982772309,0
"558",0.55,12,321,0,46,0.992239908,0
"559",0.55,12,321,0,46,0.955010163,0
"560",0.55,11,321,0,46,1.000459792,0
"561",0.55,9,326,1,46,1.015235182,0
"562",0.55,9,326,0,46,1.00218945,0
"563",0.55,8,326,0,46,0.999982227,0
"564",0.55,12,326,1,46,1.019074835,0
"565",0.55,10,326,0,46,0.99385577,0
"566",0.55,10,326,0,46,1.00221963,0
"567",0.55,9,326,0,46,0.988390135,0
"568",0.55,9,326,0,46,0.986266414,0
"569",0.55,9,326,0,46,0.951071064,0
"570",0.55,9,326,0,46,0.990848652,0
"571",0.55,9,331,1,46,1.015185175,0
"572",0.55,8,331,0,46,0.999781126,0
"573",0.55,9,331,0,46,1.001076941,0
"574",0.55,10,331,1,46,1.01654131,0
"575",0.55,10,331,0,46,0.994912525,0
"576",0.55,10,331,0,46,1.002435253,0
"577",0.55,9,331,0,46,0.988476084,0
"578",0.55,10,331,0,46,0.997987884,0
"579",0.55,9,331,0,46,0.951905549,0
"580",0.55,9,331,0,46,0.991630403,0
"581",0.55,9,336,1,46,1.015030363,0
"582",0.55,8,336,0,46,0.999850467,0
"583",0.55,9,336,0,46,1.000826459,0
"584",0.55,10,336,1,46,1.01445315,0
"585",0.55,10,336,0,46,0.995945085,0
"586",0.55,10,336,1,46,1.007356428,0
"587",0.55,9,336,0,46,0.985477678,0
"588",0.55,8,336,0,46,0.987840089,0
"589",0.55,8,336,0,46,0.95257129,0
"590",0.55,9,336,0,46,0.992341145,0
"591",0.55,9,341,1,46,1.014964111,0
"592",0.55,8,341,0,46,0.999551039,0
"593",0.55,8,341,0,46,1.003253901,0
"594",0.55,10,341,1,46,1.012681886,0
"595",0.55,9,341,0,46,0.996875331,0
"596",0.55,9,341,1,46,1.007758321,0
"597",0.55,9,341,0,46,0.985392055,0
"598",0.55,8,341,0,46,0.98804187,0
"599",0.55,8,341,0,46,0.952191985,0
"600",0.55,9,341,0,46,0.99235546,0
"601",0.55,9,346,1,46,1.014788315,0
"602",0.55,8,346,0,46,0.999604319,0
"603",0.55,9,346,0,46,0.999985249,0
"604",0.55,10,346,1,46,1.010644472,0
"605",0.55,9,346,0,46,0.997626346,0
"606",0.55,9,346,1,46,1.008297669,0
"607",0.55,10,346,0,46,0.984177862,0
"608",0.55,8,346,0,46,0.988576116,0
